"","word"
"1","pride"
"2","and"
"3","prejudice"
"4","by"
"5","jane"
"6","austen"
"7","chapter"
"8","1"
"9","it"
"10","is"
"11","a"
"12","truth"
"13","universally"
"14","acknowledged"
"15","that"
"16","a"
"17","single"
"18","man"
"19","in"
"20","possession"
"21","of"
"22","a"
"23","good"
"24","fortune"
"25","must"
"26","be"
"27","in"
"28","want"
"29","of"
"30","a"
"31","wife"
"32","however"
"33","little"
"34","known"
"35","the"
"36","feelings"
"37","or"
"38","views"
"39","of"
"40","such"
"41","a"
"42","man"
"43","may"
"44","be"
"45","on"
"46","his"
"47","first"
"48","entering"
"49","a"
"50","neighbourhood"
"51","this"
"52","truth"
"53","is"
"54","so"
"55","well"
"56","fixed"
"57","in"
"58","the"
"59","minds"
"60","of"
"61","the"
"62","surrounding"
"63","families"
"64","that"
"65","he"
"66","is"
"67","considered"
"68","the"
"69","rightful"
"70","property"
"71","of"
"72","some"
"73","one"
"74","or"
"75","other"
"76","of"
"77","their"
"78","daughters"
"79","my"
"80","dear"
"81","mr"
"82","bennet"
"83","said"
"84","his"
"85","lady"
"86","to"
"87","him"
"88","one"
"89","day"
"90","have"
"91","you"
"92","heard"
"93","that"
"94","netherfield"
"95","park"
"96","is"
"97","let"
"98","at"
"99","last"
"100","mr"
"101","bennet"
"102","replied"
"103","that"
"104","he"
"105","had"
"106","not"
"107","but"
"108","it"
"109","is"
"110","returned"
"111","she"
"112","for"
"113","mrs"
"114","long"
"115","has"
"116","just"
"117","been"
"118","here"
"119","and"
"120","she"
"121","told"
"122","me"
"123","all"
"124","about"
"125","it"
"126","mr"
"127","bennet"
"128","made"
"129","no"
"130","answer"
"131","do"
"132","you"
"133","not"
"134","want"
"135","to"
"136","know"
"137","who"
"138","has"
"139","taken"
"140","it"
"141","cried"
"142","his"
"143","wife"
"144","impatiently"
"145","you"
"146","want"
"147","to"
"148","tell"
"149","me"
"150","and"
"151","i"
"152","have"
"153","no"
"154","objection"
"155","to"
"156","hearing"
"157","it"
"158","this"
"159","was"
"160","invitation"
"161","enough"
"162","why"
"163","my"
"164","dear"
"165","you"
"166","must"
"167","know"
"168","mrs"
"169","long"
"170","says"
"171","that"
"172","netherfield"
"173","is"
"174","taken"
"175","by"
"176","a"
"177","young"
"178","man"
"179","of"
"180","large"
"181","fortune"
"182","from"
"183","the"
"184","north"
"185","of"
"186","england"
"187","that"
"188","he"
"189","came"
"190","down"
"191","on"
"192","monday"
"193","in"
"194","a"
"195","chaise"
"196","and"
"197","four"
"198","to"
"199","see"
"200","the"
"201","place"
"202","and"
"203","was"
"204","so"
"205","much"
"206","delighted"
"207","with"
"208","it"
"209","that"
"210","he"
"211","agreed"
"212","with"
"213","mr"
"214","morris"
"215","immediately"
"216","that"
"217","he"
"218","is"
"219","to"
"220","take"
"221","possession"
"222","before"
"223","michaelmas"
"224","and"
"225","some"
"226","of"
"227","his"
"228","servants"
"229","are"
"230","to"
"231","be"
"232","in"
"233","the"
"234","house"
"235","by"
"236","the"
"237","end"
"238","of"
"239","next"
"240","week"
"241","what"
"242","is"
"243","his"
"244","name"
"245","bingley"
"246","is"
"247","he"
"248","married"
"249","or"
"250","single"
"251","oh"
"252","single"
"253","my"
"254","dear"
"255","to"
"256","be"
"257","sure"
"258","a"
"259","single"
"260","man"
"261","of"
"262","large"
"263","fortune"
"264","four"
"265","or"
"266","five"
"267","thousand"
"268","a"
"269","year"
"270","what"
"271","a"
"272","fine"
"273","thing"
"274","for"
"275","our"
"276","girls"
"277","how"
"278","so"
"279","how"
"280","can"
"281","it"
"282","affect"
"283","them"
"284","my"
"285","dear"
"286","mr"
"287","bennet"
"288","replied"
"289","his"
"290","wife"
"291","how"
"292","can"
"293","you"
"294","be"
"295","so"
"296","tiresome"
"297","you"
"298","must"
"299","know"
"300","that"
"301","i"
"302","am"
"303","thinking"
"304","of"
"305","his"
"306","marrying"
"307","one"
"308","of"
"309","them"
"310","is"
"311","that"
"312","his"
"313","design"
"314","in"
"315","settling"
"316","here"
"317","design"
"318","nonsense"
"319","how"
"320","can"
"321","you"
"322","talk"
"323","so"
"324","but"
"325","it"
"326","is"
"327","very"
"328","likely"
"329","that"
"330","he"
"331","may"
"332","fall"
"333","in"
"334","love"
"335","with"
"336","one"
"337","of"
"338","them"
"339","and"
"340","therefore"
"341","you"
"342","must"
"343","visit"
"344","him"
"345","as"
"346","soon"
"347","as"
"348","he"
"349","comes"
"350","i"
"351","see"
"352","no"
"353","occasion"
"354","for"
"355","that"
"356","you"
"357","and"
"358","the"
"359","girls"
"360","may"
"361","go"
"362","or"
"363","you"
"364","may"
"365","send"
"366","them"
"367","by"
"368","themselves"
"369","which"
"370","perhaps"
"371","will"
"372","be"
"373","still"
"374","better"
"375","for"
"376","as"
"377","you"
"378","are"
"379","as"
"380","handsome"
"381","as"
"382","any"
"383","of"
"384","them"
"385","mr"
"386","bingley"
"387","may"
"388","like"
"389","you"
"390","the"
"391","best"
"392","of"
"393","the"
"394","party"
"395","my"
"396","dear"
"397","you"
"398","flatter"
"399","me"
"400","i"
"401","certainly"
"402","have"
"403","had"
"404","my"
"405","share"
"406","of"
"407","beauty"
"408","but"
"409","i"
"410","do"
"411","not"
"412","pretend"
"413","to"
"414","be"
"415","anything"
"416","extraordinary"
"417","now"
"418","when"
"419","a"
"420","woman"
"421","has"
"422","five"
"423","grown"
"424","up"
"425","daughters"
"426","she"
"427","ought"
"428","to"
"429","give"
"430","over"
"431","thinking"
"432","of"
"433","her"
"434","own"
"435","beauty"
"436","in"
"437","such"
"438","cases"
"439","a"
"440","woman"
"441","has"
"442","not"
"443","often"
"444","much"
"445","beauty"
"446","to"
"447","think"
"448","of"
"449","but"
"450","my"
"451","dear"
"452","you"
"453","must"
"454","indeed"
"455","go"
"456","and"
"457","see"
"458","mr"
"459","bingley"
"460","when"
"461","he"
"462","comes"
"463","into"
"464","the"
"465","neighbourhood"
"466","it"
"467","is"
"468","more"
"469","than"
"470","i"
"471","engage"
"472","for"
"473","i"
"474","assure"
"475","you"
"476","but"
"477","consider"
"478","your"
"479","daughters"
"480","only"
"481","think"
"482","what"
"483","an"
"484","establishment"
"485","it"
"486","would"
"487","be"
"488","for"
"489","one"
"490","of"
"491","them"
"492","sir"
"493","william"
"494","and"
"495","lady"
"496","lucas"
"497","are"
"498","determined"
"499","to"
"500","go"
"501","merely"
"502","on"
"503","that"
"504","account"
"505","for"
"506","in"
"507","general"
"508","you"
"509","know"
"510","they"
"511","visit"
"512","no"
"513","newcomers"
"514","indeed"
"515","you"
"516","must"
"517","go"
"518","for"
"519","it"
"520","will"
"521","be"
"522","impossible"
"523","for"
"524","us"
"525","to"
"526","visit"
"527","him"
"528","if"
"529","you"
"530","do"
"531","not"
"532","you"
"533","are"
"534","over"
"535","scrupulous"
"536","surely"
"537","i"
"538","dare"
"539","say"
"540","mr"
"541","bingley"
"542","will"
"543","be"
"544","very"
"545","glad"
"546","to"
"547","see"
"548","you"
"549","and"
"550","i"
"551","will"
